,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperml,SampleName,date_of_collection
1,Almeda Sims,not-known,NOROVIRUS,Undetermined,29085.2969183128,not-known,2022-05-09
2,Fred Hurvey,not-known,NOROVIRUS,Undetermined,85747.6423496169,not-known,2022-05-09
3,Haskell,NA,NOROVIRUS,NA,0,NA,2022-05-09
4,Homestead,not-known,NOROVIRUS,Undetermined,212138.146514394,not-known,2022-05-09
5,Intercontinental Airport,not-known,NOROVIRUS,Undetermined,46677.8904286966,not-known,2022-05-09
6,John T. Hickerson,not-known,NOROVIRUS,Undetermined,12160.8499430577,not-known,2022-05-09
7,Metro Central,not-known,NOROVIRUS,Undetermined,200765.089826,not-known,2022-05-09
8,Park Ten,not-known,NOROVIRUS,Undetermined,82413.89143085,not-known,2022-05-09
9,Roberto Bustamante,not-known,NOROVIRUS,Undetermined,358644.049279187,not-known,2022-05-09
10,Turkey Creek,NA,NOROVIRUS,NA,0,NA,2022-05-09
11,Almeda Sims,not-known,NOROVIRUS,Undetermined,224931.881837969,not-known,2022-05-16
12,Fred Hurvey,not-known,NOROVIRUS,Undetermined,129148.704985386,not-known,2022-05-16
13,Haskell,not-known,NOROVIRUS,Undetermined,1008980.67555647,not-known,2022-05-16
14,Homestead,not-known,NOROVIRUS,Undetermined,159824.225402249,not-known,2022-05-16
15,Intercontinental Airport,not-known,NOROVIRUS,Undetermined,384692.819240918,not-known,2022-05-16
16,John T. Hickerson,not-known,NOROVIRUS,Undetermined,1177280.21513569,not-known,2022-05-16
17,Metro Central,not-known,NOROVIRUS,Undetermined,100737.729416059,not-known,2022-05-16
18,Park Ten,not-known,NOROVIRUS,Undetermined,153605.006502137,not-known,2022-05-16
19,Roberto Bustamante,not-known,NOROVIRUS,Undetermined,1121421.12874927,not-known,2022-05-16
20,Turkey Creek,not-known,NOROVIRUS,Undetermined,600284.76738437,not-known,2022-05-16
21,Almeda Sims,not-known,NOROVIRUS,Undetermined,298678.643224851,not-known,2022-05-23
22,Fred Hurvey,not-known,NOROVIRUS,Undetermined,747450.691851785,not-known,2022-05-23
23,Haskell,not-known,NOROVIRUS,Undetermined,2345087.89432507,not-known,2022-05-23
24,Homestead,not-known,NOROVIRUS,Undetermined,159824.225402249,not-known,2022-05-23
25,Intercontinental Airport,not-known,NOROVIRUS,Undetermined,384692.819240918,not-known,2022-05-23
26,John T. Hickerson,not-known,NOROVIRUS,Undetermined,895965.437823036,not-known,2022-05-23
27,Metro Central,not-known,NOROVIRUS,Undetermined,100737.729416059,not-known,2022-05-23
28,Park Ten,not-known,NOROVIRUS,Undetermined,367531.240077635,not-known,2022-05-23
29,Roberto Bustamante,not-known,NOROVIRUS,Undetermined,271364.178648052,not-known,2022-05-23
30,Turkey Creek,not-known,NOROVIRUS,Undetermined,596354.458003935,not-known,2022-05-23
31,Almeda Sims,not-known,NOROVIRUS,Undetermined,89315.4201065727,not-known,2022-05-30
32,Fred Hurvey,NA,NOROVIRUS,NA,0,NA,2022-05-30
33,Haskell,NA,NOROVIRUS,NA,0,NA,2022-05-30
34,Homestead,NA,NOROVIRUS,NA,0,NA,2022-05-30
35,Intercontinental Airport,not-known,NOROVIRUS,Undetermined,50765.5466140445,not-known,2022-05-30
36,John T. Hickerson,NA,NOROVIRUS,NA,0,NA,2022-05-30
37,Metro Central,not-known,NOROVIRUS,Undetermined,349873.313501443,not-known,2022-05-30
38,Park Ten,not-known,NOROVIRUS,Undetermined,234818.700242882,not-known,2022-05-30
39,Roberto Bustamante,NA,NOROVIRUS,NA,0,NA,2022-05-30
40,Turkey Creek,not-known,NOROVIRUS,Undetermined,35717.0927748229,not-known,2022-05-30
41,Almeda Sims,NA,NOROVIRUS,NA,0,NA,2022-06-06
42,Fred Hurvey,not-known,NOROVIRUS,Undetermined,277013.839724116,not-known,2022-06-06
43,Haskell,not-known,NOROVIRUS,Undetermined,1369479.45455356,not-known,2022-06-06
44,Homestead,NA,NOROVIRUS,NA,0,NA,2022-06-06
45,Intercontinental Airport,NA,NOROVIRUS,NA,0,NA,2022-06-06
46,John T. Hickerson,NA,NOROVIRUS,NA,0,NA,2022-06-06
47,Metro Central,not-known,NOROVIRUS,Undetermined,319756.081998967,not-known,2022-06-06
48,Park Ten,NA,NOROVIRUS,NA,0,NA,2022-06-06
49,Roberto Bustamante,not-known,NOROVIRUS,Undetermined,17944.9771049793,not-known,2022-06-06
50,Turkey Creek,not-known,NOROVIRUS,Undetermined,529410.589475273,not-known,2022-06-06
51,Almeda Sims,NA,NOROVIRUS,NA,0,NA,2022-06-13
52,Fred Hurvey,not-known,NOROVIRUS,Undetermined,2510722.78836022,not-known,2022-06-13
53,Haskell,not-known,NOROVIRUS,Undetermined,568687.705758613,not-known,2022-06-13
54,Homestead,NA,NOROVIRUS,NA,0,NA,2022-06-13
55,Intercontinental Airport,NA,NOROVIRUS,NA,0,NA,2022-06-13
56,John T. Hickerson,not-known,NOROVIRUS,Undetermined,16350.1781162168,not-known,2022-06-13
57,Metro Central,NA,NOROVIRUS,NA,0,NA,2022-06-13
58,Park Ten,NA,NOROVIRUS,NA,0,NA,2022-06-13
59,Roberto Bustamante,not-known,NOROVIRUS,Undetermined,314990.360097829,not-known,2022-06-13
60,Turkey Creek,NA,NOROVIRUS,NA,0,NA,2022-06-13
61,Almeda Sims,not-known,NOROVIRUS,Undetermined,51338.9445481055,not-known,2022-06-20
62,Fred Hurvey,not-known,NOROVIRUS,Undetermined,25330.4326830395,not-known,2022-06-20
63,Haskell,NA,NOROVIRUS,NA,0,NA,2022-06-20
64,Homestead,not-known,NOROVIRUS,Undetermined,73819.3131597296,not-known,2022-06-20
65,Intercontinental Airport,not-known,NOROVIRUS,Undetermined,172287.275890848,not-known,2022-06-20
66,John T. Hickerson,not-known,NOROVIRUS,Undetermined,12276.5982461651,not-known,2022-06-20
67,Metro Central,not-known,NOROVIRUS,Undetermined,15428.3574111504,not-known,2022-06-20
68,Park Ten,NA,NOROVIRUS,NA,0,NA,2022-06-20
69,Roberto Bustamante,NA,NOROVIRUS,NA,0,NA,2022-06-20
70,Turkey Creek,not-known,NOROVIRUS,Undetermined,179572.825641832,not-known,2022-06-20
71,Almeda Sims,not-known,NOROVIRUS,Undetermined,35804.7243475019,not-known,2022-06-27
72,Fred Hurvey,NA,NOROVIRUS,NA,0,NA,2022-06-27
73,Haskell,NA,NOROVIRUS,NA,0,NA,2022-06-27
74,Homestead,NA,NOROVIRUS,NA,0,NA,2022-06-27
75,Intercontinental Airport,not-known,NOROVIRUS,Undetermined,350098.371095167,not-known,2022-06-27
76,John T. Hickerson,NA,NOROVIRUS,NA,0,NA,2022-06-27
77,Metro Central,not-known,NOROVIRUS,Undetermined,140169.634945047,not-known,2022-06-27
78,Park Ten,NA,NOROVIRUS,NA,0,NA,2022-06-27
79,Roberto Bustamante,NA,NOROVIRUS,NA,0,NA,2022-06-27
80,Turkey Creek,NA,NOROVIRUS,NA,0,NA,2022-06-27
81,Almeda Sims,NA,NOROVIRUS,NA,0,NA,2022-07-04
82,Fred Hurvey,not-known,NOROVIRUS,Undetermined,280056.857865934,not-known,2022-07-04
83,Haskell,NA,NOROVIRUS,NA,0,NA,2022-07-04
84,Homestead,not-known,NOROVIRUS,Undetermined,1672432.32192245,not-known,2022-07-04
85,Intercontinental Airport,not-known,NOROVIRUS,Undetermined,353363.253674279,not-known,2022-07-04
86,John T. Hickerson,NA,NOROVIRUS,NA,0,NA,2022-07-04
87,Metro Central,NA,NOROVIRUS,NA,0,NA,2022-07-04
88,Park Ten,not-known,NOROVIRUS,Undetermined,1142907.37851486,not-known,2022-07-04
89,Roberto Bustamante,not-known,NOROVIRUS,Undetermined,356690.265365454,not-known,2022-07-04
90,Turkey Creek,not-known,NOROVIRUS,Undetermined,875192.423409791,not-known,2022-07-04
91,Almeda Sims,not-known,NOROVIRUS,Undetermined,509156.60559479,not-known,2022-07-11
92,Fred Hurvey,NA,NOROVIRUS,NA,0,NA,2022-07-11
93,Haskell,NA,NOROVIRUS,NA,0,NA,2022-07-11
94,Homestead,NA,NOROVIRUS,NA,0,NA,2022-07-11
95,Intercontinental Airport,not-known,NOROVIRUS,Undetermined,324831.838826266,not-known,2022-07-11
96,John T. Hickerson,NA,NOROVIRUS,NA,0,NA,2022-07-11
97,Metro Central,NA,NOROVIRUS,NA,0,NA,2022-07-11
98,Park Ten,NA,NOROVIRUS,NA,0,NA,2022-07-11
99,Roberto Bustamante,not-known,NOROVIRUS,Undetermined,6615.7570034344,not-known,2022-07-11
100,Turkey Creek,not-known,NOROVIRUS,Undetermined,750710.626677711,not-known,2022-07-11
101,Almeda Sims,AS-22-0726,NOROVIRUS,Undetermined,0,AS-22-0726,2022-07-25
102,Fred Hurvey,22-21659,NOROVIRUS,Undetermined,0,22-21659,2022-07-25
103,Haskell,22-21660,NOROVIRUS,Undetermined,0,22-21660,2022-07-25
104,Homestead,HO-22-0726,NOROVIRUS,Undetermined,0,HO-22-0726,2022-07-25
105,Intercontinental Airport,IA-22-0726,NOROVIRUS,Undetermined,0,IA-22-0726,2022-07-25
106,John T. Hickerson,22-21658,NOROVIRUS,Undetermined,0,22-21658,2022-07-25
107,Metro Central,MC-22-0726,NOROVIRUS,Undetermined,2090206.32691268,MC-22-0726,2022-07-25
108,Park Ten,PT-22-0726,NOROVIRUS,Undetermined,0,PT-22-0726,2022-07-25
109,Roberto Bustamante,22-21661,NOROVIRUS,Undetermined,0,22-21661,2022-07-25
110,Turkey Creek,TC-22-0726,NOROVIRUS,Undetermined,0,TC-22-0726,2022-07-25
111,Almeda Sims,AI-22-0802,NOROVIRUS,Undetermined,0,AI-22-0802,2022-08-01
112,Fred Hurvey,FH-22-22421,NOROVIRUS,Undetermined,0,FH-22-22421,2022-08-01
113,Haskell,HS-22-22422,NOROVIRUS,Undetermined,0,HS-22-22422,2022-08-01
114,Homestead,H0-22-0802,NOROVIRUS,Undetermined,0,H0-22-0802,2022-08-01
115,Intercontinental Airport,IA-22-0802,NOROVIRUS,Undetermined,110608.722736538,IA-22-0802,2022-08-01
116,John T. Hickerson,JT-22-22420,NOROVIRUS,Undetermined,0,JT-22-22420,2022-08-01
117,Metro Central,MC-22-0802,NOROVIRUS,Undetermined,0,MC-22-0802,2022-08-01
118,Park Ten,PT-22-0802,NOROVIRUS,Undetermined,356153.527492272,PT-22-0802,2022-08-01
119,Roberto Bustamante,RB-22-22423,NOROVIRUS,Undetermined,0,RB-22-22423,2022-08-01
120,Turkey Creek,TC-22-0802,NOROVIRUS,Undetermined,298447.004916346,TC-22-0802,2022-08-01
121,Almeda Sims,AI-22-0808,NOROVIRUS,Undetermined,419677.392074544,AI-22-0808,2022-08-08
122,Fred Hurvey,22-23436,NOROVIRUS,Undetermined,780059.544757282,22-23436,2022-08-08
123,Haskell,22-23437,NOROVIRUS,Undetermined,0,22-23437,2022-08-08
124,Homestead,H0-22-0808,NOROVIRUS,Undetermined,1240097.68639715,H0-22-0808,2022-08-08
125,Intercontinental Airport,IA-22-0808,NOROVIRUS,Undetermined,8597669.2960569,IA-22-0808,2022-08-08
126,John T. Hickerson,22-23435,NOROVIRUS,Undetermined,0,22-23435,2022-08-08
127,Metro Central,MC-22-0808,NOROVIRUS,Undetermined,4630380.7117129,MC-22-0808,2022-08-08
128,Park Ten,PT-22-0808,NOROVIRUS,Undetermined,52088.3701895461,PT-22-0808,2022-08-08
129,Roberto Bustamante,22-23438,NOROVIRUS,Undetermined,229854.623590436,22-23438,2022-08-08
130,Turkey Creek,TC-22-0808,NOROVIRUS,Undetermined,276650.539374167,TC-22-0808,2022-08-08
131,Almeda Sims,AS-22-0815,NOROVIRUS,Undetermined,2440800.49287987,AS-22-0815,2022-08-15
132,Fred Hurvey,FH-22-24166,NOROVIRUS,Undetermined,5108359.05382858,FH-22-24166,2022-08-15
133,Haskell,HS 22-24167,NOROVIRUS,Undetermined,0,HS 22-24167,2022-08-15
134,Homestead,HO 22-0815,NOROVIRUS,Undetermined,16975795.3363922,HO 22-0815,2022-08-15
135,Intercontinental Airport,IA-22-0815,NOROVIRUS,Undetermined,1275414.45646324,IA-22-0815,2022-08-15
136,John T. Hickerson,JT-22-24165,NOROVIRUS,Undetermined,0,JT-22-24165,2022-08-15
137,Metro Central,MC-22-0815,NOROVIRUS,Undetermined,2337163.18975686,MC-22-0815,2022-08-15
138,Park Ten,PT-22-0815,NOROVIRUS,Undetermined,15584.0358420606,PT-22-0815,2022-08-15
139,Roberto Bustamante,RB 22-24168,NOROVIRUS,Undetermined,149847.858568925,RB 22-24168,2022-08-15
140,Turkey Creek,TC-22-0815,NOROVIRUS,Undetermined,351937.939641635,TC-22-0815,2022-08-15
141,Almeda Sims,AS-22-0822,NOROVIRUS,Undetermined,1486664.23204557,AS-22-0822,2022-08-22
142,Fred Hurvey,FH-22-24933,NOROVIRUS,Undetermined,1562827.32570102,FH-22-24933,2022-08-22
143,Haskell,HS 22-24934,NOROVIRUS,Undetermined,0,HS 22-24934,2022-08-22
144,Homestead,HO 22-0822,NOROVIRUS,Undetermined,1383099.95798073,HO 22-0822,2022-08-22
145,Intercontinental Airport,IA-22-0822,NOROVIRUS,Undetermined,1092354.91758789,IA-22-0822,2022-08-22
146,John T. Hickerson,JT-22-24932,NOROVIRUS,Undetermined,0,JT-22-24932,2022-08-22
147,Metro Central,MC-22-0822,NOROVIRUS,Undetermined,2035931.92327961,MC-22-0822,2022-08-22
148,Park Ten,PT-22-0822,NOROVIRUS,Undetermined,954520.555146483,PT-22-0822,2022-08-22
149,Roberto Bustamante,RB 22-24935,NOROVIRUS,Undetermined,140114.236834885,RB 22-24935,2022-08-22
150,Turkey Creek,TC-22-0822,NOROVIRUS,Undetermined,403643.830489644,TC-22-0822,2022-08-22
151,Almeda Sims,AS-22-0829,NOROVIRUS,Undetermined,0,AS-22-0829,2022-08-29
152,Fred Hurvey,FH-22-26074,NOROVIRUS,Undetermined,1645557.29948798,FH-22-26074,2022-08-29
153,Haskell,HS 22-26075,NOROVIRUS,Undetermined,0,HS 22-26075,2022-08-29
154,Homestead,HO 22-0829,NOROVIRUS,Undetermined,0,HO 22-0829,2022-08-29
155,Intercontinental Airport,IA-22-0829,NOROVIRUS,Undetermined,297489.857248724,IA-22-0829,2022-08-29
156,John T. Hickerson,JT-22-26073,NOROVIRUS,Undetermined,0,JT-22-26073,2022-08-29
157,Metro Central,MC-22-0829,NOROVIRUS,Undetermined,293041.388905363,MC-22-0829,2022-08-29
158,Park Ten,PT-22-0829,NOROVIRUS,Undetermined,2584735.42249732,PT-22-0829,2022-08-29
159,Roberto Bustamante,RB 22-26076,NOROVIRUS,Undetermined,385175.887352745,RB 22-26076,2022-08-29
160,Turkey Creek,TC-22-0829,NOROVIRUS,Undetermined,296550.185113954,TC-22-0829,2022-08-29
161,Almeda Sims,AS-22-0906,NOROVIRUS,Undetermined,0,AS-22-0906,2022-09-05
162,Fred Hurvey,22-26554,NOROVIRUS,Undetermined,0,22-26554,2022-09-05
163,Haskell,NA,NOROVIRUS,NA,0,NA,2022-09-05
164,Homestead,H0-22-0906,NOROVIRUS,Undetermined,0,H0-22-0906,2022-09-05
